,name,address,type,ranking,price
0,La Bistroteca,"Calle Espartinas 7, local izquierda Barrio Salamanca, 28001 Madrid España",Fusión,#14 de 10.414 restaurantes en Madrid,€€ - €€€
1,Los Montes de Galicia,"Calle Azcona 46, 28028 Madrid España",Internacional,#1 de 10.414 restaurantes en Madrid,€€ - €€€
2,Platea Madrid,"C/ Goya, 5-7 C/ Goya, 5-7, 28001 Madrid España",Italiana,#654 de 10.414 restaurantes en Madrid,€€ - €€€
3,Chow Chow Madrid,"Avenida de Concha Espina 55, 28016 Madrid España",Japonesa,#403 de 10.414 restaurantes en Madrid,€€€€
4,TATEL Madrid,"Paseo de la Castellana, 36, 28046 Madrid España",Internacional,#1.291 de 10.414 restaurantes en Madrid,€€€€
5,Chocolatería San Ginés,"Pasadizo de San Ginés 5, 28013 Madrid España",Postres,N.º 18 de 477 cafeterías y teterías en Madrid,€
6,Kuche Madrid,"Calle Princesa 18, 28015 Madrid España",Mediterránea,#1.600 de 10.409 restaurantes en Madrid,€€ - €€€
7,Rubaiyat Madrid,"Calle Juan Ramon Jimenez 37, 28036 Madrid España",Restaurante de carne,#875 de 10.414 restaurantes en Madrid,€€€€
8,Enigmatium Madrid,"Primer enigma a resolver Centro de Madrid, 28006 Madrid España",Española,#1.111 de 10.414 restaurantes en Madrid,€€ - €€€
9,Ramon Freixa Madrid,"Calle Claudio Coello 67, 28001 Madrid España",Mediterránea,#108 de 10.414 restaurantes en Madrid,€€€€
10,Maddock Madrid,"Paseo General Martínez Campos, 26, 28010 Madrid España",Mediterránea,#2.238 de 10.409 restaurantes en Madrid,€€ - €€€
11,Restaurante El Viejo Madrid,"Calle CAVA BAJA, 32 LOC, 28005 Madrid España",Mediterránea,#2.436 de 10.414 restaurantes en Madrid,€€ - €€€
12,Angelita Madrid,"Calle Reina, 4, 28004 Madrid España",Internacional,#157 de 10.414 restaurantes en Madrid,€€ - €€€
13,El Imparcial Madrid,"Calle Duque De Alba, 4, 28012 Madrid España",Mediterránea,#1.069 de 10.414 restaurantes en Madrid,€€ - €€€
14,Restaurante Casa Lucio,"Calle Cava Baja, 35 BAJO, 28005 Madrid España",Mediterránea,#1.037 de 10.409 restaurantes en Madrid,€€ - €€€
15,Restaurante DCorazon,"Plaza Mayor 30 Entrada al restaurante por Calle de la Sal 2, 28012 Madrid España",Internacional,#44 de 10.414 restaurantes en Madrid,€€ - €€€
16,Sakale,"Calle del Molino de Viento 4, 28004 Madrid España",Mexicana,#41 de 10.414 restaurantes en Madrid,€€ - €€€
17,Rosi La Loca,"Calle Cádiz, 4, 28012 Madrid España",Internacional,#97 de 10.414 restaurantes en Madrid,€€ - €€€
18,Casa Jaguar Madrid,"Calle Caños del Peral, 9, 28013 Madrid España",Mexicana,#191 de 10.409 restaurantes en Madrid,€€ - €€€
19,Cafe del rio Madrid,"Avenida Portugal 1 Biss. Madrid Rio, 28011 Madrid España",Mediterránea,#2.473 de 10.414 restaurantes en Madrid,€€ - €€€
20,Lobito de Mar Madrid,"Calle de Jorge Juan 10, 28001 Madrid España",Mediterránea,#2.459 de 10.414 restaurantes en Madrid,€€€€
21,Grama Lounge,"Calle de la Cruz 19, 28012 Madrid España",Latina,#22 de 10.414 restaurantes en Madrid,€€ - €€€
22,Ástor,"Calle del Almendro 9, 28005 Madrid España",Internacional,#4 de 10.409 restaurantes en Madrid,€€ - €€€
23,Oven Mozzarella Gran Vía 6,"Calle Gran Via 6, 28013 Madrid España",Italiana,#72 de 10.414 restaurantes en Madrid,€€ - €€€
24,Marisquería La Chalana,"Calle San Leonardo, 12 bajo, 28015 Madrid España",Marisco,#1.645 de 10.414 restaurantes en Madrid,€€ - €€€
25,Mercado de San Miguel,"Plaza de San Miguel s/n, 28005 Madrid España",Bar,#525 de 10.414 restaurantes en Madrid,€€ - €€€
26,Restaurante Amazonico,"Calle Jorge Juan 20, 28001 Madrid España",Brasileña,#1.705 de 10.414 restaurantes en Madrid,€€€€
27,El miniBAR,"Mesón de Paños, 1 cerca de Plaza Mayor, 28013 Madrid España",Bar,#93 de 10.414 restaurantes en Madrid,€
28,BiBo Madrid,"Paseo Castellana 52, 28046 Madrid España",Mediterránea,#742 de 10.414 restaurantes en Madrid,€€€€
29,Madrid Madriz,"Calle Fuencarral, 85, 28004 Madrid España",Bar,#703 de 10.409 restaurantes en Madrid,€
30,Gramabar,"Calle de la Cruz 19, 28012 Madrid España",Americana,#36 de 10.414 restaurantes en Madrid,€€ - €€€
31,Mamá Chicó - Recoletos - Madrid,"Calle de Recoletos, 10, 28001 Madrid España",Italiana,#2.060 de 10.414 restaurantes en Madrid,€€ - €€€
32,Takos Al Pastor,"Calle Abada 2, 28013 Madrid España",Tentempiés,N.º 3 de 125 bares de comida rápida en Madrid,€
33,Bar La Campana,"Calle de Botoneras, 6, 28012 Madrid España",Tentempiés,N.º 4 de 125 bares de comida rápida en Madrid,€
34,Juana La Loca,"Plaza Puerta de Moros 4 La Latina, 28005 Madrid España",Española,#257 de 10.409 restaurantes en Madrid,€€ - €€€
35,Benares Madrid,"Calle Zurbano nº5, 28010 Madrid España",India,#616 de 10.409 restaurantes en Madrid,€€€€
36,Ramses Madrid,"Plaza De La Independencia, 4 Puerta de Alcala, 28001 Madrid España",Mediterránea,#1.450 de 10.409 restaurantes en Madrid,€€€€
37,Taberna el Sur,"Calle Torrecilla Del Leal 12, 28012 Madrid España",Mediterránea,#30 de 10.414 restaurantes en Madrid,€€ - €€€
38,Paradis Madrid,"Calle del Marques de Cubas 14, 28014 Madrid España",Española,#939 de 10.409 restaurantes en Madrid,€€€€
39,Tiradito Madrid,"Travesia Conde Duque 13, 28015 Madrid España",Peruana,#1.541 de 10.409 restaurantes en Madrid,€€ - €€€
40,GastroVía 61,"Calle Flor Baja, 3 Hotel Mayorazgo, 28013 Madrid España",Mediterránea,#20 de 10.414 restaurantes en Madrid,€€ - €€€
41,Kausa Madrid,"Calle Amor de Dios 9 Metro: Antón Martín, 28012 Madrid España",Peruana,#100 de 10.414 restaurantes en Madrid,€€ - €€€
42,Abaceria Tapas Lambuzo Conchas,"Calle Conchas 9 esquina con Costanilla de los Angeles, 28013 Madrid España",Mediterránea,#332 de 10.414 restaurantes en Madrid,€€ - €€€
43,Aranda Madrid,"C/ LOPEZ DE ARANDA 46 Parque Quinta de los Molinos y Arturo Soria, 28027 Madrid España",Internacional,#814 de 10.409 restaurantes en Madrid,€€ - €€€
44,Bodega de la Ardosa,"Calle Colon 13, 28004 Madrid España",Bar,#889 de 10.414 restaurantes en Madrid,€€ - €€€
45,Restaurante La Primera,"Calle Gran Via 1, 28013 Madrid España",Española,#517 de 10.414 restaurantes en Madrid,€€ - €€€
46,Meson Restaurante La Mi Venta,"Plaza Marina Española, 7, 28013 Madrid España",Mediterránea,#55 de 10.414 restaurantes en Madrid,€€ - €€€
47,La Cabaña Argentina,"Calle Ventura de la Vega 10, 28014 Madrid España",Restaurante de carne,#96 de 10.409 restaurantes en Madrid,€€ - €€€
48,Casa Lolea Madrid,"Calle de la Libertad 26, 28004 Madrid España",Internacional,#103 de 10.409 restaurantes en Madrid,€€ - €€€
49,Steakburger Fuencarral,"Calle Fuencarral 73, 28010 Madrid España",Americana,#91 de 10.414 restaurantes en Madrid,€€ - €€€
50,Cannibal Raw Bar Madrid,"Calle Almirante 12 Esquina Conde de Xiquena, 28004 Madrid España",Mediterránea,#845 de 10.414 restaurantes en Madrid,€€ - €€€
51,Le Comptoir de la Crepe,"Calle Huertas 68, 28014 Madrid España",Francesa,#327 de 10.414 restaurantes en Madrid,€€ - €€€
52,Inclán Brutal Bar,"Calle de Álvarez Gato, 4, 28012 Madrid España",Bar,#56 de 10.414 restaurantes en Madrid,€€ - €€€
53,La Bien Aparecida,"Calle Jorge Juan 8, 28001 Madrid España",Mediterránea,#527 de 10.409 restaurantes en Madrid,€€€€
54,Tapa Tapa Arenal,"Calle del Arenal 15, 28013 Madrid España",Española,#422 de 10.409 restaurantes en Madrid,€€ - €€€
55,The Market Madrid,"C/Príncipe de Vergara 202, 28002 Madrid España",Internacional,#102 de 10.414 restaurantes en Madrid,€€ - €€€
56,Restaurante Algarabía,"Calle de la Union 8 Cerca Del Metro De Ópera, 28013 Madrid España",Mediterránea,#31 de 10.414 restaurantes en Madrid,€€ - €€€
57,Kuoco 360 Food,"Calle San Bartolmé, 14, 28004 Madrid España",Fusión,#116 de 10.414 restaurantes en Madrid,€€ - €€€
58,Foodtruck,"Calle San Lucas 11, 28004 Madrid España",Americana,#413 de 10.414 restaurantes en Madrid,€€ - €€€
59,Burnout,"Calle Valverde 6, 28004 Madrid España",Americana,#107 de 10.409 restaurantes en Madrid,€€ - €€€
