,name,address,type,ranking,price
0,La Tasca Madrid,"Paseo de la Florida 21, 28008 Madrid España",Española,#8.914 de 10.409 restaurantes en Madrid,€
1,Siracusa Madrid,"Calle del Doctor Fleming 23, 28010 Madrid España",Italiana,#2.578 de 10.409 restaurantes en Madrid,€€ - €€€
2,Guilty Madrid,"Calle Pelayo 57, 28004 Madrid España",Mediterránea,#1.659 de 10.409 restaurantes en Madrid,€€ - €€€
3,La Sirena Verde,"calle gran via 62, 28013 Madrid España",Americana,#838 de 10.409 restaurantes en Madrid,€€ - €€€
4,Cafe Colon Madrid,"Calle Goya 2 Plaza de Colón, 28001 Madrid España",Internacional,#2.201 de 10.409 restaurantes en Madrid,€€ - €€€
5,La Levantera,"Calle de Goya 113, 28009 Madrid España",Mediterránea,#148 de 10.409 restaurantes en Madrid,€€ - €€€
6,Taqueria Mi Ciudad,"Calle Hileras 5 y Fuentes 11, 28013 Madrid España",Mexicana,#1.079 de 10.409 restaurantes en Madrid,€
7,"La Tagliatella C/Preciados, Madrid","Calle Preciados 36, 28013 Madrid España",Italiana,#1.616 de 10.409 restaurantes en Madrid,€€ - €€€
8,Cervecería Cervantes,"Plaza Jesús 7, 28014 Madrid España",Bar,#633 de 10.409 restaurantes en Madrid,€€ - €€€
9,Reginella,"Modesto Lafuente, 76, 28003 Madrid España",Italiana,#603 de 10.409 restaurantes en Madrid,€€ - €€€
10,Las Noches de Moscu,"Calle Marques de Santa Ana 37, 28004 Madrid España",Europea,#930 de 10.409 restaurantes en Madrid,€€ - €€€
11,Restaurante Samm,"Calle de Carlos Caamaño, 3 LOC, 28016 Madrid España",Mediterránea,#2.071 de 10.409 restaurantes en Madrid,€€ - €€€
12,Kalua Helado Artesanal,"Calle Fuencarral 131 Heladería Kalúa, 28010 Madrid España",Confiterías/panaderías,N.º 6 de 477 cafeterías y teterías en Madrid,€
13,Restaurante Cadaqués Madrid,"Jorge Juan 35, 28001 Madrid España",Mediterránea,#4.112 de 10.409 restaurantes en Madrid,€€€€
14,Oven Mozzarella Bar Fuencarral,"C/Fuencarral 74, 28004 Madrid España",Italiana,#63 de 10.409 restaurantes en Madrid,€€ - €€€
15,La Tasqueria de Javi Estévez,"Calle Duque de Sesto, 48, 28009 Madrid España",Mediterránea,#197 de 10.409 restaurantes en Madrid,€€ - €€€
16,Hattori Hanzo,"Calle Mesonero Romanos, 17, 28004 Madrid España",Japonesa,#2.153 de 10.409 restaurantes en Madrid,€€ - €€€
17,Bellamia Heladeria,"Calle Perez Galdos 3, 28004 Madrid España",Postres,N.º 11 de 319 postres en Madrid,€
18,Tacos & Tapas,"Calle Redondilla, 7 Barrio Palacio, 28005 Madrid España",Mexicana,#117 de 10.409 restaurantes en Madrid,€€ - €€€
19,Caluana Madrid,"Calle De La Bolsa 12, 28012 Madrid España",Española,#2.103 de 10.409 restaurantes en Madrid,Italiana
20,Cherry Pecas,"Paseo de San Francisco de Sales 17, 28003 Madrid España",Mexicana,#32 de 10.409 restaurantes en Madrid,€
21,Ginger,"Plaza Angel 12, 28012 Madrid España",Mediterránea,#2.678 de 10.409 restaurantes en Madrid,€€ - €€€
22,Casa Gallega,"Calle BORDADORES, 11 Cerca de la Plaza Mayor y la Puerta del Sol, 28013 Madrid España",Marisco,#459 de 10.409 restaurantes en Madrid,€€€€
23,Los Torreznos,"Calle Goya 88, 28009 Madrid España",Bar,#1.876 de 10.409 restaurantes en Madrid,€
24,Restaurante Étimo by Begoña Fraire,"Calle Ayala 27 Barrio Salamanca, 28001 Madrid España",Mediterránea,#113 de 10.409 restaurantes en Madrid,€€€€
25,The Hat Rooftop Madrid,"Calle Imperial 9, 28012 Madrid España",Bar,#623 de 10.409 restaurantes en Madrid,€€ - €€€
26,Casa Paco,"Calle Altamirano 38, 28008 Madrid España",Mediterránea,#446 de 10.409 restaurantes en Madrid,€
27,El Jardin de La Maquina,"Avenida Victoria s/n, 28023 Madrid España",Mediterránea,#4.453 de 10.409 restaurantes en Madrid,€€ - €€€
28,Calicanto Madrid,"Calle Argensola 15, 28004 Madrid España",Mediterránea,#988 de 10.409 restaurantes en Madrid,€€ - €€€
29,LA COLONIAL DE HUERTAS,"HUERTAS, 66, 28014 Madrid España",Caribeña,#536 de 10.409 restaurantes en Madrid,€€ - €€€
30,AskuaBarra,"Calle Arlaban 7, 28014 Madrid España",Mediterránea,#350 de 10.409 restaurantes en Madrid,€€ - €€€
31,Asador Cristobal,"Calle Pinos Alta 23, 28029 Madrid España",Restaurante de carne,#606 de 10.409 restaurantes en Madrid,€€ - €€€
32,Tinto y Tapas San Pedro,"Calle San Pedro 22 N° 22, 28014 Madrid España",Mediterránea,#184 de 10.409 restaurantes en Madrid,€
33,La Piperna,"C/ Infanta Mercedes, 98, 28020 Madrid España",Italiana,#322 de 10.409 restaurantes en Madrid,€€ - €€€
34,Taqueria La Lupita,"Calle Villanueva 15, 28001 Madrid España",Mexicana,#909 de 10.409 restaurantes en Madrid,€€ - €€€
35,Poncelet Cheese Bar,"Calle Jose Abascal 61, 28003 Madrid España",Francesa,#597 de 10.409 restaurantes en Madrid,€€ - €€€
36,Pizza 3Cruces,"Calle de la Salud 13 Gran Vía, frente al Teatro Príncipe Gran Vía, 28013 Madrid España",Italiana,#51 de 10.409 restaurantes en Madrid,€
37,La Potente Madrid,"Plaza del humilladero esquina Cava Baja, Madrid España",Española,#10.335 de 10.409 restaurantes en Madrid,€€ - €€€
38,La Tasquita de Enfrente,"Calle Ballesta 6, 28004 Madrid España",Mediterránea,#1.932 de 10.409 restaurantes en Madrid,€€€€
39,Café Bar Delic Madrid,"Costanilla San Andres 14, 28005 Madrid España",Postres,N.º 72 de 477 cafeterías y teterías en Madrid,€€ - €€€
40,Bacira,"Calle del Castillo 16, 28010 Madrid España",Japonesa,#301 de 10.409 restaurantes en Madrid,€€ - €€€
41,Taberna La Gaditana,"Calle Lombia 6, 28009 Madrid España",Mediterránea,#460 de 10.409 restaurantes en Madrid,€€ - €€€
42,Tandoori Madrid,"Plaza de Cascorro, 3, 28005 Madrid España",India,#5.464 de 10.409 restaurantes en Madrid,€€ - €€€
43,La Raquetista,"Calle Doctor Castelo 19, 28009 Madrid España",Española,#478 de 10.409 restaurantes en Madrid,€€ - €€€
44,Taberna la Concha,"Calle Cava Baja 7, 28005 Madrid España",Mediterránea,#217 de 10.409 restaurantes en Madrid,€€ - €€€
45,As de Bastos Madrid,"Calle Castilla, 62, 28039 Madrid España",Mediterránea,#1.485 de 10.409 restaurantes en Madrid,€€ - €€€
46,Tapa Tapa,"Calle Montera 47, 28013 Madrid España",Española,#1.839 de 10.409 restaurantes en Madrid,€€ - €€€
47,Taberna del Capitán Alatriste,"Calle Grafal, 7 (Junto a Cava Baja), 28005 Madrid España",Mediterránea,#462 de 10.409 restaurantes en Madrid,€€ - €€€
48,Leña Madrid,"Paseo De La Castella, 57 Hotel Hyatt Regency Hesperia, 28046 Madrid España",Restaurante de carne,#3.137 de 10.409 restaurantes en Madrid,€€€€
49,Eccolo Gelato Madrid,"Calle de la Cruz 25, 28012 Madrid España",Postres,N.º 34 de 319 postres en Madrid,€
50,Star Studio Madrid,"Plaza de Carmen 3, 28013 Madrid España",,,
