,Unnamed: 0,Unnamed: 0.1,name,address,type,ranking,price,direccion,comunidad,street,street_2,coordinates
0,0,0,La Bistroteca,"Calle Espartinas 7, local izquierda Barrio Salamanca, 28001 Madrid España",Fusión,#14 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Espartinas 7 local izquierda Barrio Salamanca , Madrid España,Calle Espartinas 7,"Calle Espartinas 7, Madrid España","(40.4243394, -3.679035)"
1,1,1,Los Montes de Galicia,"Calle Azcona 46, 28028 Madrid España",Internacional,#1 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Azcona 46 , Madrid España,Calle Azcona 46,"Calle Azcona 46, Madrid España","(40.4326556, -3.6726411)"
2,2,2,Platea Madrid,"C/ Goya, 5-7 C/ Goya, 5-7, 28001 Madrid España",Italiana,#654 de 10.414 restaurantes en Madrid,€€ - €€€,C/ Goya 5-7 C/ Goya 5-7 , Madrid España,Calle Goya 5,"Calle Goya 5, Madrid España","(40.62924855, -4.012758066785067)"
3,3,3,Chow Chow Madrid,"Avenida de Concha Espina 55, 28016 Madrid España",Japonesa,#403 de 10.414 restaurantes en Madrid,€€€€,Avenida de Concha Espina 55 , Madrid España,Avenida de Concha Espina 55,"Avenida de Concha Espina 55, Madrid España","(40.4518842, -3.680445)"
4,4,4,TATEL Madrid,"Paseo de la Castellana, 36, 28046 Madrid España",Internacional,#1.291 de 10.414 restaurantes en Madrid,€€€€,Paseo de la Castellana 36 , Madrid España,Paseo de la Castellana 36,"Paseo de la Castellana 36, Madrid España","(40.4324628, -3.6878077)"
5,5,5,Chocolatería San Ginés,"Pasadizo de San Ginés 5, 28013 Madrid España",Postres,N.º 18 de 477 cafeterías y teterías en Madrid,€,Pasadizo de San Ginés 5 , Madrid España,Pasadizo de San Ginés 5,"Pasadizo de San Ginés 5, Madrid España","(40.4167707, -3.706803)"
6,6,6,Kuche Madrid,"Calle Princesa 18, 28015 Madrid España",Mediterránea,#1.600 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Princesa 18 , Madrid España,Calle Princesa 18,"Calle Princesa 18, Madrid España","(40.3470591, -3.831506)"
7,7,7,Rubaiyat Madrid,"Calle Juan Ramon Jimenez 37, 28036 Madrid España",Restaurante de carne,#875 de 10.414 restaurantes en Madrid,€€€€,Calle Juan Ramon Jimenez 37 , Madrid España,Calle Juan Ramon Jimenez 37,"Calle Juan Ramon Jimenez 37, Madrid España","(40.591403549999995, -3.985496800779464)"
8,8,8,Enigmatium Madrid,"Primer enigma a resolver Centro de Madrid, 28006 Madrid España",Española,#1.111 de 10.414 restaurantes en Madrid,€€ - €€€,Primer enigma a resolver Centro de Madrid , Madrid España,"Calle María de Molina, 66 ","Calle María de Molina, 66 , Madrid España","Calle María de Molina, 66 , Madrid España"
9,9,9,Ramon Freixa Madrid,"Calle Claudio Coello 67, 28001 Madrid España",Mediterránea,#108 de 10.414 restaurantes en Madrid,€€€€,Calle Claudio Coello 67 , Madrid España,Calle Claudio Coello 67,"Calle Claudio Coello 67, Madrid España","(40.5938943, -4.1466444)"
10,10,10,Maddock Madrid,"Paseo General Martínez Campos, 26, 28010 Madrid España",Mediterránea,#2.238 de 10.409 restaurantes en Madrid,€€ - €€€,Paseo General Martínez Campos 26 , Madrid España,Paseo General Martínez Campos 26,"Paseo General Martínez Campos 26, Madrid España","Paseo General Martínez Campos 26, Madrid España"
11,11,11,Restaurante El Viejo Madrid,"Calle CAVA BAJA, 32 LOC, 28005 Madrid España",Mediterránea,#2.436 de 10.414 restaurantes en Madrid,€€ - €€€,Calle CAVA BAJA 32 LOC , Madrid España,Calle Cava Baja 32,"Calle Cava Baja 32, Madrid España","Calle Cava Baja 32, Madrid España"
12,12,12,Angelita Madrid,"Calle Reina, 4, 28004 Madrid España",Internacional,#157 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Reina 4 , Madrid España,Calle Reina 4,"Calle Reina 4, Madrid España","(40.945045, -3.6604328)"
13,13,13,El Imparcial Madrid,"Calle Duque De Alba, 4, 28012 Madrid España",Mediterránea,#1.069 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Duque De Alba 4 , Madrid España,Calle Duque De Alba 4,"Calle Duque De Alba 4, Madrid España","(40.2067694, -3.5815233)"
14,14,14,Restaurante Casa Lucio,"Calle Cava Baja, 35 BAJO, 28005 Madrid España",Mediterránea,#1.037 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Cava Baja 35 BAJO , Madrid España,Calle Cava Baja 35,"Calle Cava Baja 35, Madrid España","Calle Cava Baja 35, Madrid España"
15,15,15,Restaurante DCorazon,"Plaza Mayor 30 Entrada al restaurante por Calle de la Sal 2, 28012 Madrid España",Internacional,#44 de 10.414 restaurantes en Madrid,€€ - €€€,Plaza Mayor 30 Entrada al restaurante por Calle de la Sal 2 , Madrid España,Plaza Mayor 30,"Plaza Mayor 30, Madrid España","(40.4157824, -3.7066073)"
16,16,16,Sakale,"Calle del Molino de Viento 4, 28004 Madrid España",Mexicana,#41 de 10.414 restaurantes en Madrid,€€ - €€€,Calle del Molino de Viento 4 , Madrid España,Calle del Molino de Viento 4,"Calle del Molino de Viento 4, Madrid España","(40.4232664, -3.7037237)"
17,17,17,Rosi La Loca,"Calle Cádiz, 4, 28012 Madrid España",Internacional,#97 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Cádiz 4 , Madrid España,Calle Cádiz 4,"Calle Cádiz 4, Madrid España","(40.3148903, -4.4698356)"
18,18,18,Casa Jaguar Madrid,"Calle Caños del Peral, 9, 28013 Madrid España",Mexicana,#191 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Caños del Peral 9 , Madrid España,Calle Caños del Peral 9,"Calle Caños del Peral 9, Madrid España","(40.4189909, -3.7085092)"
19,19,19,Cafe del rio Madrid,"Avenida Portugal 1 Biss. Madrid Rio, 28011 Madrid España",Mediterránea,#2.473 de 10.414 restaurantes en Madrid,€€ - €€€,Avenida Portugal 1 Biss. Madrid Rio , Madrid España,Avenida Portugal 1,"Avenida Portugal 1, Madrid España","(40.3289712, -3.8574986)"
20,20,20,Lobito de Mar Madrid,"Calle de Jorge Juan 10, 28001 Madrid España",Mediterránea,#2.459 de 10.414 restaurantes en Madrid,€€€€,Calle de Jorge Juan 10 , Madrid España,Calle de Jorge Juan 10,"Calle de Jorge Juan 10, Madrid España","(40.4237791, -3.6864786)"
21,21,21,Grama Lounge,"Calle de la Cruz 19, 28012 Madrid España",Latina,#22 de 10.414 restaurantes en Madrid,€€ - €€€,Calle de la Cruz 19 , Madrid España,Calle de la Cruz 19,"Calle de la Cruz 19, Madrid España","(40.4155198, -3.7017311)"
22,22,22,Ástor,"Calle del Almendro 9, 28005 Madrid España",Internacional,#4 de 10.409 restaurantes en Madrid,€€ - €€€,Calle del Almendro 9 , Madrid España,Calle del Almendro 9,"Calle del Almendro 9, Madrid España","(40.4127139, -3.7096599)"
23,23,23,Oven Mozzarella Gran Vía 6,"Calle Gran Via 6, 28013 Madrid España",Italiana,#72 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Gran Via 6 , Madrid España,Calle Gran Via 6,"Calle Gran Via 6, Madrid España","(40.5443308, -3.3790235)"
24,24,24,Marisquería La Chalana,"Calle San Leonardo, 12 bajo, 28015 Madrid España",Marisco,#1.645 de 10.414 restaurantes en Madrid,€€ - €€€,Calle San Leonardo 12 bajo , Madrid España,Calle San Leonardo 12,"Calle San Leonardo 12, Madrid España","(40.4249269, -3.7108007)"
25,25,25,Mercado de San Miguel,"Plaza de San Miguel s/n, 28005 Madrid España",Bar,#525 de 10.414 restaurantes en Madrid,€€ - €€€,Plaza de San Miguel s/n , Madrid España,Plaza de San Miguel ,"Plaza de San Miguel , Madrid España","(40.4157141, -3.7094527)"
26,26,26,Restaurante Amazonico,"Calle Jorge Juan 20, 28001 Madrid España",Brasileña,#1.705 de 10.414 restaurantes en Madrid,€€€€,Calle Jorge Juan 20 , Madrid España,Calle Jorge Juan 20,"Calle Jorge Juan 20, Madrid España","(40.5417321, -3.6258958)"
27,27,27,El miniBAR,"Mesón de Paños, 1 cerca de Plaza Mayor, 28013 Madrid España",Bar,#93 de 10.414 restaurantes en Madrid,€,Mesón de Paños 1 cerca de Plaza Mayor , Madrid España,Mesón de Paños 1,"Mesón de Paños 1, Madrid España","(40.4162893, -3.7091977)"
28,28,28,BiBo Madrid,"Paseo Castellana 52, 28046 Madrid España",Mediterránea,#742 de 10.414 restaurantes en Madrid,€€€€,Paseo Castellana 52 , Madrid España,Paseo Castellana 52,"Paseo Castellana 52, Madrid España","(40.4356993, -3.6882216)"
29,29,29,Madrid Madriz,"Calle Fuencarral, 85, 28004 Madrid España",Bar,#703 de 10.409 restaurantes en Madrid,€,Calle Fuencarral 85 , Madrid España,Calle Fuencarral 85,"Calle Fuencarral 85, Madrid España","(40.4262403, -3.7013748)"
30,30,30,Gramabar,"Calle de la Cruz 19, 28012 Madrid España",Americana,#36 de 10.414 restaurantes en Madrid,€€ - €€€,Calle de la Cruz 19 , Madrid España,Calle de la Cruz 19,"Calle de la Cruz 19, Madrid España","(40.4155198, -3.7017311)"
31,31,31,Mamá Chicó - Recoletos - Madrid,"Calle de Recoletos, 10, 28001 Madrid España",Italiana,#2.060 de 10.414 restaurantes en Madrid,€€ - €€€,Calle de Recoletos 10 , Madrid España,Calle de Recoletos 10,"Calle de Recoletos 10, Madrid España","(40.4218994, -3.690302)"
32,32,32,Takos Al Pastor,"Calle Abada 2, 28013 Madrid España",Tentempiés,N.º 3 de 125 bares de comida rápida en Madrid,€,Calle Abada 2 , Madrid España,Calle Abada 2,"Calle Abada 2, Madrid España","(40.418948, -3.7037389)"
33,33,33,Bar La Campana,"Calle de Botoneras, 6, 28012 Madrid España",Tentempiés,N.º 4 de 125 bares de comida rápida en Madrid,€,Calle de Botoneras 6 , Madrid España,Calle de Botoneras 6,"Calle de Botoneras 6, Madrid España","Calle de Botoneras 6, Madrid España"
34,34,34,Juana La Loca,"Plaza Puerta de Moros 4 La Latina, 28005 Madrid España",Española,#257 de 10.409 restaurantes en Madrid,€€ - €€€,Plaza Puerta de Moros 4 La Latina , Madrid España,Plaza Puerta de Moros 4,"Plaza Puerta de Moros 4, Madrid España","Plaza Puerta de Moros 4, Madrid España"
35,35,35,Benares Madrid,"Calle Zurbano nº5, 28010 Madrid España",India,#616 de 10.409 restaurantes en Madrid,€€€€,Calle Zurbano nº5 , Madrid España,Calle Zurbano 5,"Calle Zurbano 5, Madrid España","(40.4411981, -3.6925295)"
36,36,36,Ramses Madrid,"Plaza De La Independencia, 4 Puerta de Alcala, 28001 Madrid España",Mediterránea,#1.450 de 10.409 restaurantes en Madrid,€€€€,Plaza De La Independencia 4 Puerta de Alcala , Madrid España,Plaza De La Independencia 4,"Plaza De La Independencia 4, Madrid España","(40.4206959, -3.6889616)"
37,37,37,Taberna el Sur,"Calle Torrecilla Del Leal 12, 28012 Madrid España",Mediterránea,#30 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Torrecilla Del Leal 12 , Madrid España,Calle Torrecilla Del Leal 12,"Calle Torrecilla Del Leal 12, Madrid España","(40.4110698, -3.6995107)"
38,38,38,Paradis Madrid,"Calle del Marques de Cubas 14, 28014 Madrid España",Española,#939 de 10.409 restaurantes en Madrid,€€€€,Calle del Marques de Cubas 14 , Madrid España,Calle del Marques de Cubas 14,"Calle del Marques de Cubas 14, Madrid España","(40.4165585, -3.6957161)"
39,39,39,Tiradito Madrid,"Travesia Conde Duque 13, 28015 Madrid España",Peruana,#1.541 de 10.409 restaurantes en Madrid,€€ - €€€,Travesia Conde Duque 13 , Madrid España,Travesia Conde Duque 13,"Travesia Conde Duque 13, Madrid España","(40.4265297, -3.7115519)"
40,40,40,GastroVía 61,"Calle Flor Baja, 3 Hotel Mayorazgo, 28013 Madrid España",Mediterránea,#20 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Flor Baja 3 Hotel Mayorazgo , Madrid España,Calle Flor Baja 3,"Calle Flor Baja 3, Madrid España","(40.4220833, -3.7095924)"
